"dNBR","severity","slope","mass_burnt_pct","surface_consumption","canopy_consumption","max_power","residence_time_power","residence_time_consumption","max_reaction_rate","size","site","fire"
353,2,25.361499786377,55.435426404912,0.894360445117358,0.894931488001959,1289.51571727466,687.269892473118,752.483870967742,0.0247313107557441,500,"Camp2","Caldor"
944,4,27.5938987731934,55.4449229342963,0.894513148882286,0.895423840808617,1359.2793921686,658.878494623656,757.161290322581,0.0263810464590397,500,"Camp2","Caldor"
920,4,26.4685535430908,49.0863649122177,0.894513372727419,0.897717294406136,1420.72604114163,633.460215053763,823.322580645161,0.0252485381724813,500,"Camp2","Caldor"
884,4,26.5887203216553,44.3268193119316,0.894351573537795,0.900520968261445,1451.68480959656,629.096774193548,901.967741935484,0.0281395969858843,500,"Camp2","Caldor"
858,4,25.2103099822998,45.5206437682593,0.894290089327216,0.899633624449107,1439.19307454427,680.648387096774,940.903225806452,0.0269467560937883,500,"Camp2","Caldor"
867,4,30.7878341674805,49.445773034711,0.894173300644303,0.897590841044001,1399.29050332346,743.37311827957,969.032258064516,0.0205583385399834,500,"Camp2","Caldor"
866,4,32.4677429199219,52.0316536998236,0.894102699551556,0.897988810529181,1368.50296617734,797.615053763441,1036.87096774194,0.0221435525218828,500,"Camp2","Caldor"
641,3,34.1439514160156,51.2450004234274,0.894070450774986,0.898045725242087,1345.13294955917,851.879292403746,1082.52861602497,0.0262483161661288,500,"Camp2","Caldor"
730,3,34.9669761657715,50.8822957539037,0.893991635448486,0.899567817924249,1314.07921385194,897.454734651405,1144.49531737773,0.025719622347991,500,"Camp2","Caldor"
548,3,31.2142219543457,53.4643500563919,0.893815749030941,0.901514826245451,1270.36971658686,946.789247311828,1237.70967741935,0.0232399003734591,500,"Camp2","Caldor"
460,3,27.7689609527588,55.6720212295491,0.893727032611302,0.900296597878489,1237.58247733167,1000.45053763441,1263,0.0209919457158394,500,"Camp2","Caldor"
636,3,26.7364406585693,52.646689954368,0.893882019283821,0.900028124161851,1223.18105960969,1045.31827956989,1302.87096774194,0.020812649989676,500,"Camp2","Caldor"
604,3,26.4833164215088,52.6175990489221,0.893934292470791,0.901679697408096,1218.65974993962,1064.52688172043,1358.87096774194,0.0224068622879232,500,"Camp2","Caldor"
474,3,24.5424747467041,58.1604053879297,0.893831219327616,0.902541877130943,1224.84982385123,1026.73655913978,1338.16129032258,0.0232552811316545,500,"Camp2","Caldor"
360,2,24.4164619445801,57.2886958855455,0.893795363838103,0.906510045363002,1251.83237258747,963.756989247312,1255.1935483871,0.0241379617432294,500,"Camp2","Caldor"
384,3,31.0504283905029,54.4186011996321,0.893970891293539,0.905691328672917,1300.63523900842,934.778494623656,1170.58064516129,0.0227735102705404,500,"Camp2","Caldor"
551,3,31.930871963501,49.7588089735277,0.716014720927749,0.720431399344021,1203.79533100743,909.370967741935,1079.96774193548,0.0181363234628319,500,"Camp2","Caldor"
678,3,22.9643402099609,45.4252311706543,0.537918771400056,0.539858274046902,1079.34864869477,896.387096774194,1029.09677419355,0.0159831380523223,500,"Camp2","Caldor"
510,3,27.1270999908447,40.9646731192066,0.894467589506249,0.897182761595374,1340.70954274824,703.316129032258,936.967741935484,0.0236500448662091,500,"Camp2","Caldor"
425,3,22.7247676849365,48.1239758822226,0.894446385852925,0.897295639480111,1377.18693434192,694.13064516129,905.709677419355,0.0281061477533839,500,"Camp2","Caldor"
594,3,21.7643184661865,52.5174333731333,0.894470831298179,0.896968631162834,1417.38875246766,681.194623655914,856.677419354839,0.0271286987257296,500,"Camp2","Caldor"
908,4,27.6654777526855,51.8389907508768,0.894495511771385,0.897677289443441,1464.63447252499,663.179569892473,853.612903225806,0.0245585404667846,500,"Camp2","Caldor"
1011,4,28.7492828369141,46.362863976212,0.894491385648488,0.899852285199168,1485.36405449324,689.606451612903,965.741935483871,0.0258911876235287,500,"Camp2","Caldor"
968,4,26.3713703155518,42.6521091081763,0.894291886818841,0.90119989847524,1472.46207879179,716.074193548387,1047.93548387097,0.0257208292583109,500,"Camp2","Caldor"
