"dNBR","severity","slope","mass_burnt_pct","surface_consumption","surface_remaining","canopy_consumption","canopy_remaining","max_power","residence_time_power","residence_time_consumption","max_reaction_rate","size","site","fire"
513,3,29.6673393249512,35.1825445182862,0.995488276622522,0.00451172337747847,0.011460757725435,0.91004461861865,949.964835152575,1509.89677419355,1632.41935483871,0.0132097965040855,"duet","American","Caldor"
520,3,31.1105480194092,34.107288960086,0.995022618386502,0.00497738161349794,0.0160750587333139,0.938369385711131,957.871743706597,1504.58222222222,1656.73333333333,0.0124176447983776,"duet","American","Caldor"
735,3,31.4099445343018,42.3421254396439,0.995089772180082,0.00491022781991831,0.031897306123197,0.908102693876803,985.308055623372,1397.73555555556,1589.43333333333,0.0132034206738467,"duet","American","Caldor"
851,4,29.9775142669678,50.1539504859183,0.995294329494171,0.00470567050582866,0.0407339035737154,0.890377207537395,1018.26329583062,1162.97888888889,1411.93333333333,0.0145650732983955,"duet","American","Caldor"
930,4,26.6754169464111,56.2080915818612,0.992331041778891,0.0076689582211084,0.0838497637527206,0.860594680691724,1047.26174316406,915.553333333333,1296.66666666667,0.0148656520712778,"duet","American","Caldor"
953,4,16.3128700256348,59.7539833374104,0.921364138689715,0.0786358613102846,0.106670919514909,0.774440191596203,980.836448364258,721.196666666667,1144.36666666667,0.0128386790469471,"duet","American","Caldor"
881,4,16.5599460601807,57.8054806994512,0.848438908507162,0.151561091492837,0.0970063695220997,0.712993630477901,853.348672417535,642.697777777778,1069.3,0.0124561024956351,"duet","American","Caldor"
701,3,31.4908924102783,65.3852392636902,0.91872911870973,0.0812708812902702,0.138953998406783,0.64437933492655,842.691182590061,743.525555555556,1316.36666666667,0.0141498895373292,"duet","American","Caldor"
634,3,36.716796875,73.7339641350287,0.992552301641564,0.00744769835843698,0.169963937971784,0.585591617583771,880.590892311379,832.637037037037,1457.5,0.0152971173084148,"duet","American","Caldor"
951,4,36.4256210327148,83.5093029922909,0.985362974052769,0.0146370259472309,0.180135711805398,0.464308732639047,880.283283148872,831.866666666667,1286.33333333333,0.0144729068657549,"duet","American","Caldor"
365,2,24.3107204437256,0,0,1,0,0.941666666666667,0,0,0,0,"duet","American","Caldor"
418,3,25.0559997558594,0,0,1,0,0.939130434782609,0,0,0,0,"duet","American","Caldor"
393,3,25.0014724731445,2.05466896163093,0.0477880474816827,0.952211952518317,0.00205494530740654,0.929056165803705,45.7796958414714,66.0133333333333,85.1,0.000615439653997277,"duet","American","Caldor"
429,3,26.1745548248291,11.1501213627391,0.31775727866362,0.68224272133638,0.0162918347698946,0.912597054118994,307.74028503418,428.757777777778,492.233333333333,0.00412288198061592,"duet","American","Caldor"
494,3,26.6977348327637,26.5625629513794,0.737964136911217,0.262035863088784,0.0347079146613906,0.903069863116387,710.682536078559,944.927777777778,1097.26666666667,0.00955439334485296,"duet","American","Caldor"
431,3,25.8874645233154,33.6893389052815,0.966015933117252,0.0339840668827482,0.0412183027263456,0.919892808384765,937.454732394748,1191.56555555556,1439.26666666667,0.0132342789505559,"duet","American","Caldor"
469,3,25.7858905792236,31.2040566982163,0.996049509065369,0.00395049093462995,0.0312695840701644,0.944285971485392,988.383810356988,1210.48666666667,1453.2,0.0142151124273191,"duet","American","Caldor"
480,3,28.7552585601807,30.2325543280443,0.996040121676804,0.00395987832319503,0.0148611942145322,0.944027694674357,1001.32096130371,1241.63888888889,1411.36666666667,0.0141731426751646,"duet","American","Caldor"
456,3,30.0885562896729,32.5948219958172,0.995971477523816,0.00402852247618388,0.0114699830286128,0.912185930949882,993.282727838332,1348.09462365591,1450.25806451613,0.0144386313282767,"duet","American","Caldor"
507,3,33.0922088623047,30.7325611047847,0.995435533614287,0.0045644663857139,0.00971404522125928,0.898888105316375,979.386637829196,1422.21290322581,1515.41935483871,0.0132987073574362,"duet","American","Caldor"
436,3,34.488956451416,33.0606417645348,0.995014223763496,0.00498577623650469,0.017784841057138,0.899992936720639,982.522458563911,1410.56,1557.36666666667,0.0125590166088803,"duet","American","Caldor"
470,3,33.5320472717285,48.7991619398859,0.995272377800687,0.00472762219931377,0.0457150117419425,0.857618321591391,1002.91644178602,1286.65222222222,1503.83333333333,0.0151502172384824,"duet","American","Caldor"
911,4,29.9207496643066,58.746224354638,0.995532486177527,0.00446751382247273,0.0701089356744104,0.829891064325589,1023.88712693956,1077.42111111111,1409.56666666667,0.0167943327112566,"duet","American","Caldor"
711,3,16.8867778778076,62.5277273606426,0.987919908223545,0.012080091776454,0.139913819709564,0.784530624734881,1033.71060262044,900.54,1469.33333333333,0.0146621261689993,"duet","American","Caldor"
483,3,7.45600366592407,61.8484526368262,0.930901046039116,0.0690989539608842,0.157424737176388,0.752575262823613,987.292599351671,747.714444444444,1321.5,0.0124721510254187,"duet","American","Caldor"
743,3,14.9846534729004,58.59033409792,0.914545299245555,0.0854547007544453,0.0914781467319375,0.771855186601396,951.402667168511,674.125555555556,1104.63333333333,0.0132241035527606,"duet","American","Caldor"
636,3,25.1266422271729,63.9067777701219,0.970762614018994,0.0292373859810056,0.0995852269464369,0.710414773053563,950.833935953776,734.364444444444,1196.4,0.0146999704536691,"duet","American","Caldor"
1042,4,29.8628158569336,70.410868121518,0.994382260744276,0.00561773925572317,0.145095749335898,0.628978324738175,938.216633210359,785.912962962963,1272.05555555556,0.0148942756866926,"duet","American","Caldor"
1121,4,30.5289134979248,79.2803747600979,0.996144030101131,0.00385596989886894,0.217851055348225,0.537704500207331,937.342141384549,799.288888888889,1308.33333333333,0.0141497831666506,"duet","American","Caldor"
279,2,24.5152111053467,0,0,1,0,0.945833333333333,0,0,0,0,"duet","American","Caldor"
428,3,26.1413288116455,2.8270489991575,0.0869322272085285,0.913067772791471,0.00151130586495853,0.927474201381418,84.1727862814198,101.178260869565,110.478260869565,0.00148663828098747,"duet","American","Caldor"
460,3,28.8123207092285,11.3414305847221,0.341356285838007,0.658643714161993,0.00665094262299992,0.913349057377,326.556165364583,456.216666666667,506.833333333333,0.00473405162034942,"duet","American","Caldor"
